on_time_delivery,delivery_priority,delivery_type,warehouse_type,customer_calls,customer_review,product_cost,prior_purchases,gender,discount_offered,weight_lbs
1,low,Flight,D,4,2,177,3,F,44,2.72
1,low,Flight,F,4,5,216,2,M,59,6.81
1,low,Flight,A,2,2,183,4,M,48,7.44
1,medium,Flight,B,3,3,176,4,M,10,2.59
1,medium,Flight,C,2,2,184,3,F,46,5.48
1,medium,Flight,F,3,1,162,3,F,12,3.12
1,low,Flight,D,3,4,250,3,F,3,5.23
1,low,Flight,F,4,1,233,2,F,48,6.18
1,low,Flight,A,3,4,150,3,F,11,4.1
1,medium,Flight,B,3,2,164,3,F,29,2.62
1,medium,Flight,C,3,4,189,2,M,12,6.37
1,medium,Flight,F,4,5,232,3,F,32,7.17
1,medium,Flight,D,3,5,198,3,F,1,8.08
1,high,Flight,F,4,4,275,3,M,29,5.74
1,low,Flight,A,4,3,152,3,M,43,2.22
1,low,Flight,B,4,3,227,3,F,45,5.97
1,medium,Flight,C,3,4,143,2,F,6,2.63
1,medium,Ship,F,5,5,227,3,M,36,8.71
1,high,Ship,D,5,5,239,3,M,18,5.5
1,medium,Ship,F,4,5,145,3,M,45,2.33
1,medium,Ship,A,3,3,161,2,F,38,3.35
1,medium,Ship,B,3,1,232,4,F,51,6.39
1,low,Ship,C,2,5,156,2,M,2,3.86
1,high,Ship,F,4,3,211,3,M,12,8.65
1,medium,Ship,D,4,5,251,2,F,28,7.85
1,low,Ship,F,3,1,225,4,M,29,7.71
1,high,Ship,A,4,1,172,3,F,24,2.35
1,medium,Ship,B,5,1,162,3,M,31,3.16
1,low,Ship,C,2,3,234,4,M,44,6.91
1,low,Ship,F,5,4,183,2,F,36,8.42
1,medium,Ship,D,3,4,266,2,F,38,6.04
1,low,Ship,F,5,3,257,2,F,61,7.37
1,low,Ship,A,3,1,223,3,F,22,8.37
1,medium,Ship,B,4,2,234,3,M,4,7.19
1,medium,Ship,C,4,2,227,4,F,22,5.42
1,medium,Ship,F,5,4,149,3,F,44,3.99
1,high,Ship,D,3,5,137,4,F,62,3.26
1,medium,Ship,F,2,4,181,6,F,16,7.95
1,low,Ship,A,5,1,215,4,F,56,8.61
1,low,Ship,B,4,2,269,5,F,45,5.25
